unit_id,pref_dir,gDSI,pref_ori,gOSI,cc_abs,target_id,x0,y0,sigma_x,sigma_y,rho,amp,offset,half1_mean,half1_sem,half2_mean,half2_sem,u_statistic,pval,sel_index
3904,0.4817663267948966,0.00958055,0.4817663267948966,0.154093,0.249171,424334,32.62645473993408,22.872747797968103,2.962389505706863,3.141173850060265,5.214252107891969e-33,17.840617078042083,0.6570700722394169,2.622414019491394,0.2285197575043352,2.6206630565122757,0.4217956124510624,60381.0,0.0266462281425245,0.0003339571312296
3905,2.746171633974483,0.0473375,2.746171633974483,0.0767557,0.292844,257613,27.909109995624675,16.61464569266931,3.3921717643128866,2.306458514305187,0.2203117487197454,22.78888058613467,0.6134177162181915,0.9922910638211284,0.1779248626270214,1.0740235366943662,0.1329355602479243,53977.0,0.1000451891714981,-0.0395547090713328
3906,1.2702863267948965,0.0791879,1.2702863267948965,0.307701,0.66693,295167,27.014492060060988,20.781102940333547,5.002608542884036,4.490594837517586,1.8139306285075775e-24,56.25864163291944,0.5825431009885187,2.6725830091669267,0.4324555874502408,3.5004900006991844,1.0027691868810746,29661.0,0.0084363645770771,-0.1341158593473713
3908,3.889641633974483,0.0876307,0.7480489803846897,0.127985,0.471509,223941,25.2964097412349,18.219091331889324,5.225633826055248,3.801900542013568,0.4360470896179762,48.35508511981427,0.5753292013088711,2.3082890842902875,0.6215117880894445,5.864550477701362,0.9098984534427644,29277.0,0.0551936840796749,-0.4351316780950543
3909,5.959381633974482,0.155872,2.8177889803846896,0.275801,0.585491,361189,26.4924683014799,18.15248599405124,5.195734347323326,4.994429113388888,0.3535335894985874,52.37052365730585,0.6119496843122773,3.6251136837693783,0.6011872559605992,5.278552352846029,0.8848096406953713,33796.0,0.0916393213179458,-0.1857031319769917
3911,4.888411633974483,0.0680345,1.7468189803846896,0.0932794,0.446743,424239,28.976657271208957,20.172319991703155,3.4707760063188617,2.598558813087426,0.253073646016606,20.330209415368085,0.6388572001939847,1.4750494426622098,0.1869554937449651,1.5713162276475934,0.2331959289185989,53618.0,0.1247203770257421,-0.0316005349993304
3912,1.8414916339744831,0.0877062,1.8414916339744831,0.113361,0.423092,422550,29.442045176560335,20.10155364668078,3.120903695097895,2.8451665239352377,0.0779001314080434,16.081927673047563,0.6554719286089967,2.0145321666364646,0.248301418300229,2.48926048719958,0.29233884088104,43772.0,0.3241129782584057,-0.1054063446190783
3917,5.674211633974483,0.0488346,2.5326189803846897,0.195302,0.397851,392732,28.345004680929726,18.4465824201562,4.317906672810889,3.1712179988161937,1.3984488988653757e-17,39.200812902157885,0.5795709888109013,9.12017715689444,1.1885289703241595,6.949086149397393,0.6455805245338337,46228.0,0.0374286070545314,0.135108309952639
3927,3.630771633974483,0.052113,0.4891789803846897,0.276097,0.550461,294858,26.452759439615427,20.54325314866671,3.6111818389608006,3.5967661809974243,0.1516066838952363,35.55388203239112,0.6210775603052736,4.588238383783355,0.6752392853928623,2.835469759225164,0.5308594857628753,45226.0,3.578148947218312e-05,0.2361041935907608
5652,5.064361633974483,0.0873045,1.9227689803846888,0.396243,0.433988,459470,33.31609971088093,19.605886429433237,4.737905157024571,3.045886883388598,0.1108630671223314,41.33595069946962,0.5902974058997222,7.595575905787467,0.8065576607151006,4.138877371727522,0.5764146543713127,47940.0,1.3410666253395026e-07,0.2945768713983045
5667,4.876791633974483,0.0533155,1.73519898038469,0.0224258,0.6938,424945,30.156220829610703,16.081535462557735,3.89514162490296,3.8872287526463,0.0106463543114309,38.35935493823309,0.593644368524217,0.3329146435932719,0.0714414841793662,0.3267159048534974,0.0601448547343671,47029.0,0.1412133866956439,0.0093972887616721
5668,4.986981633974483,0.0203902,1.8453889803846897,0.398571,0.580128,456933,29.78344549958186,19.556045541722437,3.739620653359359,3.903591716647011,0.1361467977888497,46.34428665153144,0.547667510825941,12.370641015968031,1.7064354880519623,15.419623892180118,1.3282258551007466,34569.0,0.0250965232744487,-0.109714063046521
5669,0.7335543267948965,0.225731,0.7335543267948965,0.408208,0.506698,459026,30.628020321481788,18.92866929046335,5.660037610367137,3.833537402166132,9.553988322033413e-36,55.58605551625432,0.5901576426101431,8.855975173662669,1.6551742303924937,7.355044861952555,1.3546452151708248,38134.0,0.4726298360131828,0.092587036991664
5673,6.017721633974483,0.150458,2.876128980384689,0.39592,0.55278,459203,30.168760885177356,20.76077190993047,4.126895652644013,4.188160845268935,0.0435433140191197,48.76833567545925,0.5807312916477041,5.23328798814722,0.6307645844558263,4.210590333156837,0.4759076930566224,32404.0,0.6043392435145722,0.1082921253531317
5709,3.3967616339744824,0.0128745,0.2551689803846892,0.151085,0.455316,428381,32.2185142188371,20.505142199611225,3.792362531663086,4.349329959862699,0.1387148838705424,47.028492093754856,0.5798092179673022,2.016974199690354,0.3388621495552038,4.265177963972622,0.7146281988838822,38796.0,0.646434008893445,-0.3578715869517228
5712,2.4723916339744827,0.0370235,2.4723916339744827,0.541371,0.317682,428483,31.382097289864433,22.273263186887693,4.5127896646997785,4.356606825378451,0.220550497536841,60.425097625931016,0.5477048740936958,6.13468314155935,0.9121270460801832,12.165821878932476,1.8014251982534042,22196.0,0.2777956437218544,-0.3295613279862939
5713,5.608601633974483,0.0859603,2.4670089803846897,0.251541,0.390838,428328,30.391302419793707,19.62512101546155,3.87431638922104,3.245595497627204,5.793103646308297e-34,30.256439698066632,0.6235694046260186,4.513236345075797,0.7051887794825025,2.7543913347831928,0.3028422150026865,49001.0,0.0861017623931612,0.2420108855007733
5714,5.813851633974483,0.0239877,2.6722589803846897,0.172339,0.215803,428485,30.15969372216866,20.372500550244055,4.696142227409857,3.319861091924264,0.2895434709522388,36.73389895166599,0.6228451238496572,0.844497659461352,0.1497450996761722,0.6425588124337159,0.1282064233582755,37551.0,0.9808355047412546,0.1357976989066799
5718,4.081431633974483,0.11573,0.9398389803846898,0.34338,0.416576,428736,29.16138799476068,20.40607814841054,4.243848811715085,3.9938807853640177,5.535287640680458e-35,41.44333936637895,0.6059260953478506,2.266658546330622,0.2818707570499651,3.777786325507541,0.3980836228564255,21589.0,5.4104869076935465e-06,-0.2500027399070931
